view_count	duration	video_id	title
171174	2873	d8mvVt7EkXA	"이런 인간만 살아남습니다" AI 시대에 진짜 주목받는 한가지 역량 (노정석 대표)
800217	1809	_cEW8g9I4ak	"딱 3년만 미친듯이 해보세요" 1조 기업 회장이 말하는 AI 시대의 진짜 생존 공식 (feat. 언러닝 학습법)
364527	541	my3TM7r_jCE	“진짜 부자를 만나고 깨달았어요” 99%가 모르는 돈에서 자유로워지는 법 (삶을 잘 사는 3가지 방법)
163129	511	vpM7q1B7DIA	“딱 한 달만 이렇게 살아보세요” 인생이 바뀌는 시간 관리법 (1분 모닝 루틴)
255100	844	9wonY0MH06o	"이걸 모르면 10년을 버립니다" 30대에 알면 인생이 바뀌는 이야기
345042	1103	7Isd16BDbVo	"2026년 신년운세 보지 마세요" 챗GPT로 운과 커리어를 제대로 설계하는 방법 (18년 커리어의 비밀)
597405	944	lifH81bxQSs	“여행 말고 유학을 가세요” 이건희 회장에게 배운 이 시대에 필요한 새로운 학습법 (feat. 상하이)
51225	642	BBOQLfiQ2Gg	"실패가 두렵다면 꼭 보세요" 내가 20년 넘게 샤워에 미쳐있는 이유
138927	692	A-H0RmtjmVc	"평범했던 인생을 이렇게 바꿨어요" 시간이 갈수록 달라지는 사람 특징
51071	728	E1KOISYQYPU	"이걸 알면 10년 뒤가 달라질거에요" 10대부터 60대까지 꼭 알아야하는 미래 공부법
218530	668	ahPMmVnyxqU	"이걸 알면 책 읽는 방법이 바뀌어요"  절대 실패없는 독서 습관 만드는 법 (독서의 인문학)
128178	788	zrwKyoy3dZQ	"한 살이라도 어릴 때 떠나야 해요." ✈️  수억 넘게 쓰고 알게된 (여행의 3단계)
147013	470	IamHK5YouYk	"이걸 알고 운이 좋아졌어요" 뭘해도 잘되는 사람들의 3가지 특징 (운의 인문학)
33183	572	MEq4_Lik4Xw	"딱 3가지만 기억하세요" 내가 하는 일을 의미있게 만드는 방법
98943	1272	Nu1tsD4mAsE	"20분 만에 삶의 힌트를 얻을 거예요" 방황을 끝내는 인생의 3단계
64483	1040	ay88Q-UraVs	"외로움을 이겨내는 가장 쉬운 방법이에요" 혼자서 펑펑 울 수 있는 공간을 만든 이유
319431	716	hJI1EVXxNME	”옷을 바꾸면 연봉이 올라요” 성공하는 사람들의 비밀 3가지 (패션의 인문학)
357473	536	l3uYsGs5xI0	"100일 동안 매일 3km 달렸어요" 평범했던 내가 러닝을 하며 깨달은 것 (달리기의 인문학)
142068	7043	87iLGtAouvY	[소울정 몰아보기] "2만 명 만나고 깨달았어요" 오늘부터 완전히 다른 인생을 살려면 꼭 알아야하는 9가지
135464	1102	UtEpBszlqN0	뒤틀린 부부관계? 틀어진 부부가 좋은 관계로 향하는 방법 (부부의 인문학)
87201	666	8rzvEy4uMzc	옆에 둬야할 사람과 손절해야할 사람을 나누는 결정적 차이 (관계의 인문학)
477006	660	R-Kx2_rLJLQ	"딱 일주일만 해보세요" 서울대 의사가 알려주는 몸에 쌓인 독소를 없애주는 확실한 방법 (닥터 라이블리)
325747	791	A40ixgv8kxA	"평생 기억에 남는 선물? 이렇게 했어요" 5000명에게 주고 깨달은 (선물의 인문학)
136773	680	luAwLm7jqRE	“100개 사서 1개를 남겨요” 내 인생을 바꿔준 물건들 (안목의 인문학)
60710	733	cczqtgqeh14	"좋은 리더, 좋은 어른의 기준은?" 나이는 먹어가는데 아직 어른이 되지 못한 친구들에게
34749	850	FOtkTsSdJz8	"저는 이렇게 성장했어요" 17년 넘게 글을 쓰며 깨달은 것
21586	1058	S0bR1nzdnd0	[SUB] “도쿄 여행 떠나기 전에 꼭 보세요“ 일본에서 배운 미래의 트렌드 (트루스 투어 ep.3)
37239	453	o-62wQaHNB4	"기획에 관심 있다면 꼭 가보세요" 17년차 교육 기획자가 추천하는 곳 (트루스 투어 ep.2)
38191	691	3YVNjmtsdHI	여행과 그랜드 투어의 차이? 인생을 바꿔준 비즈니스 트립 (트루스 투어 ep.1)
88724	751	GGfHEd-0Hu4	전 셀트리온 대표님이 말하는 매일 2시간 공부의 기적 (유석환 회장님)
107637	912	RDIXW3icWAk	"이걸 알면 계속해서 성장할 수 있어요" 한계에 부딪혔을 때 꼭 알아야 하는 것
54372	450	O3QRXzwIeMs	좋아하는 일, 잘하는 일이 아니라 '이런' 일을 해야 해요 (나의 적성을 찾는법)
70336	961	dwYXhVWKBsc	"이걸 빨리 알면 인생이 달라져요" 20대에는 몰랐고, 30대에는 알게된 것
980223	574	VADPHUaFsSU	1000명 넘게 만나고 알아낸 인간 관계 핵심 “이걸 알고 인생이 풀렸어요”
147271	348	p2mWtlLGHUg	서점에 1억 넘게 써본 사람이 말하는 한 권을 100번 읽는 이유
43792	486	rL4-DEppNII	10년 넘게 지키고 있는 것들, 교육 기획자의 작업실
300887	592	UwrhGBW4KCA	연애 때부터 알 수 있는 ‘결혼하면 안 되는 남자’ TOP3
126767	708	zQhwyMWGW0M	모든 걸 내려놓고 싶은 충동이 들 때, 이렇게 이겨냈어요
358473	1055	QkC3Ml0PhrA	16년차 교육 사업가의 왓츠인마이백, 나만 알고 싶은 가방 속 찐템들👜
84402	946	2a4uvfbGOU8	나를 성장하게 하는 질문, "당신의 롤모델은 누구인가요?"
385627	854	EYJ3Lk28DZE	[SUB] 성장하고 싶은 사람들을 위한 노트 사용법 (16년째 기록하는 진짜 이유)
52969	584	15y8zo_vhII	일하는 사람일수록 공부를 멈추면 안 되는 진짜 이유
19007	310	p_hbizd5F9Q	어른이 되고 싶다면 꼭 알아야하는 것 (30대 딸에게 전하는 엄마의 지혜)
23268	701	EyLtnd9VgEI	"질문할 수 있는 용기를 가져야 해요" 2030에게 전하는 조언 (박재현 교수)
30046	814	sCIGugxAxoA	NEXT를 고민하는 친구들에게 하고 싶은 이야기
63888	745	VLlPxLZxY44	유튜브에서 말해주지 않는 '돈보다 더 중요한 것들'
32933	906	bhGW_UuGAuQ	함께 사업하는 부부가 꼭 지키는 원칙
